Key,english
ShawMartiniHenryMLGDesc,"Civilize the Savages\n\nNow MLG!"
ShawRevolverMLG,[00ff00]Jailbreak Revolver MLG[-]
ShawRevolverMLGDesc,"Fry Some Bacon\n\nNow MLG!"
ShawDoubleBarrelShotgunMLG,[00ff00]Sudra Slayer MLG[-]
ShawDoubleBarrelShotgunMLGDesc,"Straight To Africa\n\nNow MLG!"
40mmGL,[FF0000]Grenade Assault Rifle[-]
40mmGLDesc,"What are you doing?\nUses Trolls for ammo."
40mmGLGolden,[FFCC01]Grenade Assault Rifle Golden[-]
40mmGLGoldenDesc,"What are you doing?\nUses Trolls for ammo.\n\nNow with gold!"
40mmGLMLG,[00ff00]Grenade Assault Rifle MLG[-]
40mmGLMLGDesc,"What are you doing?\nUses Trolls for ammo.\n\nNow MLG!"
FutCoin,FUT Coin
FutCoinDesc,"FUT Coins can be used to make stuff."
TreasureQuestDuke,Duke's Treasure Map
TreasureQuestEdp,Farts's Treasure Map
TreasureQuestTrump,Orange Man's Treasure Map
TreasureQuestBiggestHead,Cardriver70's Treasure Map
ShapeShifterMessi,Shape Shifter Messi
ShapeShifterMessiDesc,"Shape Shifter Messi\nShapeshifter cards are both extremely rare and valuable."
ShapeShifterRonaldo,Shape Shifter Ronaldo
ShapeShifterRonaldoDesc,"Shape Shifter Ronaldo\nShapeshifter cards are both extremely rare and valuable."
test_biome_dirt,Cookie Land
ShawtreeStump,Tree Stump
ShawtreeStumpPOI,Tree Stump
BigHead,[FFCC01]Big Head[-]
BigHeadDesc,":)"
BiggerHead,Bigger Head
BiggerHeadDesc,"OMG WAT THE HECK IS DAT??"
BiggestHead,Biggest Head
BiggestHeadDesc,"Nothing Bigger. Nothing Better."
DevExcavator,Excavator
DevTestDig,Dev Test Digger
DevItemDesc,"Dev item used for testing/fucking about."
Essence,"[FFCC01]Essence[-]"
EssenceDesc,"Massive amounts of knowledge condensed into solid form"
EssenceKey,"[FFCC01]Essence Key[-]"
EssenceKeyDesc,"A powerful key that can be used to open doors."
EssenceKey2,Holy Essence Key
EssenceKey2Desc,"A blessed essence key that can open the strongest doors."
CookieKey1,Shaw's Cookie Works Production Access Card
CookieKey1Desc,"A key that allows access into the output section of the factory."
Cross,Holy Cross
CrossDesc,"Gives you a holy sheild that will last one day or untill it breaks."
GingerbreadMan,Gingerbread Man
GingerbreadManDesc,"Spazz out combo."
buffGingerBreadmanName,Gingerbread Man
buffGingerBreadmanDesc,"Spazz out combo"
TrollJuice,Troll Juice
TrollJuiceDesc,"Take trolling to another level."
buffTrollJuiceName,Troll Juice
buffTrollJuiceDesc,"U MAD BRO?"
buffTrollJuiceCooldownName,Troll Juice Cooldown
buffTrollJuiceCooldownDesc,"Too much trolling :("
buffCrossName,Holy Cross
buffCrossDesc,"Holy Shield"
modHyperRed1,HyperRed 1
modHyperRed1Desc,"Level 1 HyperRed\nIncreases damage by 5%"
modHyperRed2,HyperRed 2
modHyperRed2Desc,"Level 2 HyperRed\nIncreases damage by 10%"
modHyperRed3,HyperRed 3
modHyperRed3Desc,"Level 3 HyperRed\nIncreases damage by 20%"
modHyperRed4,HyperRed 4
modHyperRed4Desc,"Level 4 HyperRed\nIncreases damage by 30%"
modHyperRed5,HyperRed 5
modHyperRed5Desc,"Level 5 HyperRed\nIncreases damage by 50%"
modHyperYellow1,HyperYellow 1
modHyperYellow1Desc,"Level 1 HyperYellow\nIncreases melee speed by 5%"
modHyperYellow2,HyperYellow 2
modHyperYellow2Desc,"Level 2 HyperYellow\nIncreases melee speed by 10%"
modHyperYellow3,HyperYellow 3
modHyperYellow3Desc,"Level 3 HyperYellow\nIncreases melee speed by 20%"
modHyperYellow4,HyperYellow 4
modHyperYellow4Desc,"Level 4 HyperYellow\nIncreases melee speed by 30%"
modHyperYellow5,HyperYellow 5
modHyperYellow5Desc,"Level 5 HyperYellow\nIncreases melee speed by 50%"
modHyperGreen1,HyperGreen 1
modHyperGreen1Desc,"Level 1 HyperGreen\nIncreases run speed by 5%"
modHyperGreen2,HyperGreen 2
modHyperGreen2Desc,"Level 2 HyperGreen\nIncreases run speed by 10%"
modHyperGreen3,HyperGreen 3
modHyperGreen3Desc,"Level 3 HyperGreen\nIncreases run speed by 20%"
modHyperGreen4,HyperGreen 4
modHyperGreen4Desc,"Level 4 HyperGreen\nIncreases run speed by 30%"
modHyperGreen5,HyperGreen 5
modHyperGreen5Desc,"Level 5 HyperGreen\nIncreases run speed by 50%"
modHyperDiamond1,HyperDiamond 1
modHyperDiamond1Desc,"Level 1 HyperDiamond\nIncreases firerate by 5%"
modHyperDiamond2,HyperDiamond 2
modHyperDiamond2Desc,"Level 2 HyperDiamond\nIncreases firerate by 10%"
modHyperDiamond3,HyperDiamond 3
modHyperDiamond3Desc,"Level 3 HyperDiamond\nIncreases firerate by 20%"
modHyperDiamond4,HyperDiamond 4
modHyperDiamond4Desc,"Level 4 HyperDiamond\nIncreases firerate by 30%"
modHyperDiamond5,HyperDiamond 5
modHyperDiamond5Desc,"Level 5 HyperDiamond\nIncreases firerate by 50%"
modHyperOrange1,HyperOrange 1
modHyperOrange1Desc,"Level 1 HyperOrange\nIncreases block damage by 5%"
modHyperOrange2,HyperOrange 2
modHyperOrange2Desc,"Level 2 HyperOrange\nIncreases block damage by 10%"
modHyperOrange3,HyperOrange 3
modHyperOrange3Desc,"Level 3 HyperOrange\nIncreases block damage by 20%"
modHyperOrange4,HyperOrange 4
modHyperOrange4Desc,"Level 4 HyperOrange\nIncreases block damage by 30%"
modHyperOrange5,HyperOrange 5
modHyperOrange5Desc,"Level 5 HyperOrange\nIncreases block damage by 50%"
modHyperBlue1,HyperBlue 1
modHyperBlue1Desc,"Level 1 HyperBlue\nIncreases stamina regain by 5%"
modHyperBlue2,HyperBlue 2
modHyperBlue2Desc,"Level 2 HyperBlue\nIncreases stamina regain by 10%"
modHyperBlue3,HyperBlue 3
modHyperBlue3Desc,"Level 3 HyperBlue\nIncreases stamina regain by 20%"
modHyperBlue4,HyperBlue 4
modHyperBlue4Desc,"Level 4 HyperBlue\nIncreases stamina regain by 30%"
modHyperBlue5,HyperBlue 5
modHyperBlue5Desc,"Level 5 HyperBlue\nIncreases stamina regain by 50%"
modHyperPurple1,HyperPurple 1
modHyperPurple1Desc,"Level 1 HyperPurple\nIncreases ammo capacity by 5%"
modHyperPurple2,HyperPurple 2
modHyperPurple2Desc,"Level 2 HyperPurple\nIncreases ammo capacity by 10%"
modHyperPurple3,HyperPurple 3
modHyperPurple3Desc,"Level 3 HyperPurple\nIncreases ammo capacity by 20%"
modHyperPurple4,HyperPurple 4
modHyperPurple4Desc,"Level 4 HyperPurple\nIncreases ammo capacity by 30%"
modHyperPurple5,HyperPurple 5
modHyperPurple5Desc,"Level 5 HyperPurple\nIncreases ammo capacity by 50%"
modHyperPink1,HyperPink 1
modHyperPink1Desc,"Level 1 HyperPink\nDecreases degradation by 5%"
modHyperPink2,HyperPink 2
modHyperPink2Desc,"Level 2 HyperPink\nDecreases degradation by 10%"
modHyperPink3,HyperPink 3
modHyperPink3Desc,"Level 3 HyperPink\nDecreases degradation by 20%"
modHyperPink4,HyperPink 4
modHyperPink4Desc,"Level 4 HyperPink\nDecreases degradation by 30%"
modHyperPink5,HyperPink 5
modHyperPink5Desc,"Level 5 HyperPink\nDecreases degradation by 50%"
modHyper1Desc,"A Level 1 Hyperchrome not only looks great but also provides 10 stamina regen."
modHyper2Desc,"A Level 2 Hyperchrome not only looks great but also provides 10 stamina/second"
modHyper3Desc,"A Level 3 Hyperchrome not only looks great but also provides 3 stamina/second"
modHyper4Desc,"A Level 4 Hyperchrome not only looks great but also provides 4 stamina/second"
modHyper5Desc,"A Level 5 Hyperchrome not only looks great but also provides 5 stamina/second"
loadingShaw1,"Uncuffable, the only one strong enough to wield the golden cuffs."
loadingShaw1_title,Bshaw
loadingShaw2,"Shaw used to have an Iphone 12 pro before Bruno threw it in a dumpster."
loadingShaw2_title,SHAW'S OWN PHONE
loadingShaw3,"Nobody knows if he was Shaw himself but he introduced Shaw's invention of cookies to Australia."
loadingShaw3_title,B Antonio
loadingShaw4,"ORANGE MAN BAD! ORANGE MAN BAD! ORANGE MAN BAD! ORANGE MAN BAD! ORANGE MAN BAD!"
loadingShaw4_title,Orange Man
loadingShaw5,"Habibi-Muckeen the first has the power to connect to Shaw's computer via Anydesk to end the world."
loadingShaw5_title,THE ONE ABOVE
loadingShaw6,"Nobody has ever been there, most people don't even think it's real, but CP_PILLOWFORT is in fact real. The creator, John's Breastcage, made it in secret, very few know about it's true existence."
loadingShaw6_title,CP_PILLOWFORT
loadingShaw7,"The Biggest Head, the creator of all heads"
loadingShaw7_title,CARDRIVER70
loadingShaw8,"Neva play Kike Game!"
loadingShaw8_title,The Kike Game
loadingShaw9,"Level 1: Individual Attacks\nLevel 2: Flash Mobs\nLevel 3: LA Riots\nLevel 4: South Africa\nLevel 5: Planet of the Apes"
loadingShaw9_title,National Chimpout Advisory Guide
OldDemiGod,Old Demigod
OldDemiGodDesc,"Old Demigod used in shrines has less hp and gives less essence use for decor."
BleachName,Bleach
KeemstarAlex,"[FF0000]Keemstar[-]"
KeemstarAlexDesc,"Live on BlogTv"
OldGodXS,Old God
OldGodS,Old God
OldGodM,Old God
OldGodL,Old God
OldGodXL,Old God
OldGodDesc,"Old God used in shrines."
WealthyGodXS,Wealthy God
WealthyGodS,Wealthy God
WealthyGodM,Wealthy God
WealthyGodL,Wealthy God
WealthyGodXL,Wealthy God
WealthyGodDesc,"Wealthy God used in shrines."
HatefulGodXS,Hateful God
HatefulGodS,Hateful God
HatefulGodM,Hateful God
HatefulGodL,Hateful God
HatefulGodXL,Hateful God
HatefulGodDesc,"Hateful God used in shrines."
LonelyGodXS,Lonely God
LonelyGodS,Lonely God
LonelyGodM,Lonely God
LonelyGodL,Lonely God
LonelyGodXL,Lonely God
LonelyGodDesc,"Lonely God used in shrines."
MiserableGodXS,Miserable God
MiserableGodS,Miserable God
MiserableGodM,Miserable God
MiserableGodL,Miserable God
MiserableGodXL,Miserable God
MiserableGodDesc,"Miserable God used in shrines."
SleepingGodXS,Sleeping God
SleepingGodS,Sleeping God
SleepingGodM,Sleeping God
SleepingGodL,Sleeping God
SleepingGodXL,Sleeping God
SleepingGodDesc,"Sleeping God used in shrines."
GoldChest,Golden Chest
GoldChest2,Angus Chest
GoldChestCookieFactoryBase,Golden Chests
GoldChestCookieFactoryHarambeWorkstation,Golden Chests
GoldChestCookieFactoryRuinsWorkstation,Golden Chests
GoldChestCookieFactorySakuraGardenWorkstation,Golden Chests
GoldChestCookieFactoryOilWorkstation,Golden Chests
MCChest,Old Chest
GoldChestEssenceKey,Golden Chest
TrollBricks,Troll Bricks
RedSparkleTime,Red Sparkle Time Fedora
BlueSparkleTime,Blue Sparkle Time Fedora
ClassicFedora,Classic Fedora
RipleysSign,Ripley's Believe it or Not Sign
ManEgg,Man Egg
VoltBike,Volt Bike
JewBox,Jew Box
ArtMan,Man Art
BoomBox,Golden BoomBox
TacoDoge,Taco Doge
DababyCar,Dababy Car
SusTroll,Sus Troll
TrumpWall,Orange Man Wall
ValkStone,Valkyrie Statue
MHCube,Cube Shrine
MHHarambe,Damaged Harambe Shrine
MHOil,Damaged Industry Shrine
MHRuins,Damaged Runis Shrine
MHBanHammer,Ban Hammer Shrine
MHSakuraGarden,Damaged Nature Shrine
MHSwordStone,Excalibur
EmpyreanGeneral,Empyrean General
EmpyreanKing,Empyrean King
KorbloxGeneral,Korblox General
KorbloxDeathspeaker,Korblox Deathspeaker
OverseerGeneral,Overseer General
OverseerKing,Overseer King
RedcliffGeneral,Redcliff General
RedcliffKing,Redcliff King
OldGodDoor,Old God
OldGodDoorDesc,"Old God door locked (set as locked in poi, needs essence key to open)"
OldGodDoorHard,Old God
OldGodDoorHardDesc,"Old God door locked needs a better key to open (set as locked in poi, needs essence key to open)"
OldGodDoorNoKey,Old God
OldGodDoorNoKeyDesc,"Old God door locked no key (set as locked in poi, needs a button to open)"
OldGodDoorUnlock,Old God
OldGodDoorUnlockDesc,"Old God door unlocked."
TrollBricks,Troll Bricks
RipleysSign,Ripley's Sign
CustomDecoration,"Just decor not used for gameplay."
ShawsCoffin,Ancient Tomb
RonaldoName,Ronaldo
RonaldoLoot,Ronaldo
RonaldoLootCrate,Sealed Ronaldo Crate
EdpName,EDP
EdpLoot,EDP
EdpLootCrate,Sealed EDP Crate
TrumpName,Orange Man
TrumpLoot,Orange Man
TrumpLootCrate,Sealed Orange Man Crate
BiggestHeadCrate,Sealed Biggest Head Crate
BiggestHeadName,Biggest Head
BiggestHeadLoot,Biggest Head
MarbleName,Marble
MarbleEName,Exotic Marble
MarbleTilesBrownName,Marble Tiles Brown
GraniteRName,Granite Red
RedWoodName,Redwood
BlueWoodName,Bluewood
TrollFaceName,Troll Face
TrollFace2Name,Soldier Troll Face
LimestoneBricksName,Limestone Bricks 2
LimestoneTilesName,Limestone Tiles
MagmaName,Magma
LimestoneBricks2Name,Limestone Bricks Small
LimestoneBricks3Name,Limestone Bricks Large
CobbleStoneName,Cobble Stone
treasure_Duke,Duke's Treasure
treasure_Duke_offer,"Dear Survivor,\n\nIf your reading this note, then the worst has probably happened, and the odds are I'm cuffed. But, rather than let all my stashes of FUT coins go to waste, I'd like you to have one of them. I've marked the location on this map for you.\n\nDon't Get Cuffed,\nDuke"
treasure_Edp,Farts's Treasure
treasure_Edp_offer,"Dear Survivor,\n\nIf your reading this note, then the worst has probably happened, and the odds are I'm cuffed. But, rather than let all my stashes of HyperRomes go to waste, I'd like you to have one of them. I've marked the location on this map for you.\n\nDon't Get Cuffed,\nFart"
treasure_Trump,Orange Man's Treasure
treasure_Trump_offer,"Dear Survivor,\n\nIf your reading this note, then your WRONG!"
treasure_BiggestHead,Cardriver70's Treasure
treasure_BiggestHead_offer,"Dear Prisoner,\n\nIf your reading this note, then i'd like you to have one of my stashes of Heads. I've marked the location on this map for you.\n\nGood Luck,\nCardriver70"
buffStewDesc,"Increases food and water by 60 over time."
buffPearToastDesc,"Increases food by 9 over time."
buffPizzaDesc,"Increases food by 120 over time."
buffPearSmoothieDesc,"Increases water by 9 over time."
buffSmoothieDesc,"Increases water by 15 over time."
40mmGLAmmo,[FF0000]Standard Trolls[-]
40mmGLAmmoDesc,"4/10 troll face"
40mmGLAmmo2,Bigger Trolls
40mmGLAmmo2Desc,"6.5/10 troll face\nA good upgrade"
40mmGLAmmoBiggest,Biggest Trolls 
40mmGLAmmoBiggestDesc,"8.5/10 troll face\nBig radius big damage"
40mmGLAmmoHyper,Hyper Trolls
40mmGLAmmoHyperDesc,"9.5/10 troll face\nSmall radius biggest damage"
BiggestBench,The 70 Fabricator
BiggestBenchDesc,"Created from sacred heads though unknown means"
BiggestBenchPOI,Damaged 70 Fabricator
BiggestBenchPOIDesc,"placed in poi, can only craft a real fabricator (used for progression)"
BiggerCatalyst,70 Catalyst
BiggerCatalystDesc,"Created from sacred heads though unknown means"
BiggerCatalystPOI,Damaged 70 Catalyst
BiggerCatalystPOIDesc,"placed in poi, can only craft a real catalyst (used for progression)"
BigKit,Big Head Mender
BigKitDesc,"Used to repair lesser exotic items."
BiggerKit,Bigger Head Mender
BiggerKitDesc,"Used to repair the majority of exotic items."
BiggestKit,Biggest Head Mender
BiggestKitDesc,"Used to repair the strongest exotic items."
SaintFloydsNewport,Saint Floyd's Newports
SaintFloydsNewportDesc,"Carried by Saint Floyd before the counterfeit 20 incident.\nUpon inhalation you cease to feel pain.\nFunctions as a cigar (15% barter)."
buffSaintFloydsNewportDesc,Chimp Rage
buffSaintFloydsNewportLongDesc,"Rage builds on every melee attack, every 9th hit will unleash your rage"
Butter,Stick of Butter
ButterDesc,"Jona Wyatt.\nRegen 25hp/second"
buffButterDesc,Stick of Butter
buffButterLongDesc,"Regen 25hp/second\nRegen 25Stamina/second\nHelps heal strong debuffs."
WyattButter,Stick of Wyatt Butter
WyattButterDesc,"Jona Wyatt (Obese).\nRegen 50hp/second"
buffWyattButterDesc,Stick of Wyatt Butter
buffWyattButterLongDesc,"Eating butter temporary increases health regeneration.\nRegen 50hp/second"
Narcan,Narcan
NarcanDesc,"Regen 10hp/second\nRegen 10Stamina/second\nGain partial immunity to weak debuffs and heal strong ones"
buffNarcanDesc,Narcan
buffNarcanLongDesc,"Narcan helps you breef"
buffPopeyesChickenName,Popeyes Chicken
buffPopeyesChickenDesc,"A chimp's favorite meal, greatly increases aggression."			
Gus,Gustavo
Horse1,Horse Statue Flag
Horse2,Horse Statue Glave
MC_Chest,Old Chest
RobloxLogo,Roblox Statue
WalterSponge,White Sponge
WhiteManStone,Freedom Statue
WhiteRV,White RV
ChiseledSandstoneName,Chiseled Sandstone
CobblestoneMCName,Cobblestone
EndStoneBricksName,Endstone Bricks
NetherrackName,Netherrack
NetherrackTrollName,Netherrack Troll
ObsidianName,Obsidian
SandstoneName,Sandstone
SmoothStoneName,SmoothStone
OakLogName,Oak Log
OakPlanksName,Oak Planks
modArmorSaintFloydsBlessing,Saint Floyd's Blessing
modArmorSaintFloydsBlessingDesc,"Gives you the strength to resist the white man.\nWill not save you from spam"
buffSaintFloydsBlessing1Desc,Saint Floyd's Blessing (Strength)
buffSaintFloydsBlessing1LongDesc,"Increases combat abilities to fight the white man"
buffSaintFloydsBlessing2Desc,Saint Floyd's Blessing (Resistance)
buffSaintFloydsBlessing2LongDesc,"When in critical condition your lungs double in size greatly increasing athletic abilities"
buffSaintFloydsBlessingCooldownDesc,Saint Floyd's Blessing Cooldown
buffSaintFloydsBlessingCooldownLongDesc,"You must recover before being saved again."
buffCookieFactoryDesc,Shaws Cookie Works
buffCookieFactoryLongDesc,"Survive untill time runs out\nWill not start untill quest is started"
AlexName,Alex
Pessi1Name,Pessi
Pessi2Name,Pessi
FloydName,Floyd
KGBLogoName,KGB Logo
KGBSignName,KGB Sign
MenuName,KGB Menu
SignName,KGB Sign
HunterName,Hunter Biden Mirror
HunterTubName,Hunter Biden Tub
HunterTileName,Hunter Biden Mirror
BurgerSignName,Johna Sign
PeterMenuName,Peter Menu
PeterSignName,Peter Sign
MukySignName,Muky Sign
DarkheartShrine,Darkheart
EternalVoyage,Eternal Voyage
EyeShrine,Eye Shrine
TechShrine,Tech Shrine
VenomshankShrine,Venomshank
WoodenSwordStump,Stump
WoodenBoardStump,Stump
GermanyStatue,Germany Statue
GoldStatue,Golden Statue
LeninStatue,Lenin Statue
NoobStatue,Noob Statue
SaulGoodman,Saul Badman
TitanSub,Titan Sub
BiggestSeller,"[DECEA3]70 Exchange[-]"
BiggestSellerDesc,"Dump your trash for something better."
LegendaryShard,[FF0000]Legendary Shard[-]
LegendaryShardDesc,"An unending flame that burns bright in your hands."
LegendaryShardWeak,Weak Legendary Shard
LegendaryShardWeakDesc,"A tiny ember that glows warmly in your hands."
LegendaryShardDF,"[FF0000]Damaged Legendary Shard[-]"
LegendaryShardDFDesc,"Can be reused to create new legendary items"
BiggestCore,Biggest Core
BiggestCoreDesc,"A source of great power."
CounterfeitCore,Counterfeit Core
CounterfeitCoreDesc,"A source of great wealth."
FutCore,FUT Core
FutCoreDesc,"A source of great goals."
JewCore,Happy Merchant Core
JewCoreDesc,"A source of overwhelming wealth."
IndustryCore,Industry Core
IndustryCoreDesc,"A source of great progress."
FoodCore,Calorie Core
FoodCoreDesc,"A source of great hunger."
OilWorkstationPart,Industry Fragment
OilWorkstationPartDesc,"The heart of an Industry Shrine that had its assembly cut short."
SakuraGardenPart,"Nature Fragment"
SakuraGardenPartDesc,"The heart of a Nature Shrine that had its assembly cut short."
OldGodButton,Old God
OldGodButtonDesc,"Bedrock single use button used for pois"
LinkedSword,[DECEA3]Linked Sword[-]
LinkedSwordDesc,"With blood and iron."
Firebrand,[FF0000]Firebrand[-]
FirebrandDesc,"O! for a muse of fire, that would ascend the brightest heaven of invention."
Venomshank,[00FF00]Venomshank[-]
VenomshankDesc,"Because doesn't he deserve the most painful bloxxing possible?"
Darkheart,[000000]Darkheart[-]
DarkheartDesc,"It's darker than RGB(0,0,0) and it steals life from your enemies. What more is there to say."
Illumina,[A6ECF8]Illumina[-]
IlluminaDesc,"Telamon's favorite weapon from Sword Fight on the Heights. It is light, agile, and deadly."
Icedagger,[0000FF]Icedagger[-]
IcedaggerDesc,"Is this a dagger which I see before me,The handle toward my hand? Come, let me clutch thee. /I have thee not, and yet I see thee still. /Art thou not, fatal vision, sensible / To feeling as to sight? or art thou but /A dagger of the mind, a false creation, /Proceeding from the heat-oppressed brain?"
Windforce,[0000FF]Windforce[-]
WindforceDesc,"She's like the wind."
Ghostwalker,[A6ECF8]Ghostwalker[-]
GhostwalkerDesc,"The boast of heraldry, the pomp of power, / And all that beauty, all that wealth e'er gave, / Awaits alike th' inevitable hour:- / The paths of glory lead but to the grave."
WoodenSword,Wooden Sword
WoodenSwordDesc,"Wooden swords and painted wings and ephemeral treasured things"
WoodenBoard,Board With a Nail in It
WoodenBoardDesc,"Did they? That board with a nail in it may have defeated us. But the humans won't stop there. They'll make bigger boards and bigger nails, and soon, they will make a board with a nail so big, it will destroy them all!"
buffGhostwalkerDesc,Ghostwalker Combo
buffGhostwalkerLongDesc,"pwned = power"
BiggestGL,The Biggest Bazooka
BiggestGLDesc,"Shoots Mega Trolls."
BiggestGLAmmo,Mega Trolls
BiggestGLAmmoDesc,"Administers Das Knee"
BiggestGLAmmoHyper,Mega Hyper Trolls
BiggestGLAmmoHyperDesc,"Administers Das Knee"
modArmorPlatingBig,[DECEA3]Big Armor Plating
modArmorPlatingBigDesc,"Good quality armor plating made from big heads also makes you more healthy.\nIncreases max wellness by 5 and defense and fire defense by 2."
modArmorPlatingBigger,Bigger Armor Plating
modArmorPlatingBiggerDesc,"Great quality armor plating made from bigger heads also makes you more healthy.\nIncreases max wellness by 40."
modArmorPlatingBiggest,Biggest Armor Plating
modArmorPlatingBiggestDesc,"Flawless quality armor plating made from biggest that also makes you more healthy.\nIncreases max wellness by 70."
modHeadCoreDesc,"An extremely unstable overclock created by Cardriver70 before the Biggest Guns"
modHeadCore,70 Overclock
modHeadCoreV2Desc,"An extremely unstable overclock created by Cardriver70 before the Biggest Guns"
modHeadCoreV2,Enhanced 70 Overclock
modHeadCoreToolDesc,"An extremely unstable overclock created by Cardriver70 before the 70 Harvester"
modHeadCoreTool,[0000FF]70 Harvesting Overclock[-]
buffBurningBigDesc,Big Head Inferno
buffBurningBigLongDesc,"Once ignited there is little you can do to extinguish the flames"
buffBurningBiggerDesc,Bigger Head Inferno
buffBurningBiggerLongDesc,"Once ignited there is little you can do to extinguish the flames"
buffBurningBiggestDesc,Biggest Head Inferno
buffBurningBiggestLongDesc,"Once ignited there is little you can do to extinguish the flames"
buffBurningBigTooltip,You are engulfed in flames
GingerbreadManCell,Gingerbread Man Foundry
GingerbreadManCellDesc,"Make Gingerbread Man"
TrollJuiceCell,Troll Juice Foundry
TrollJuiceCellDesc,"Make Troll Juice"
MHAxeShrine,Axe Shrine
materialShawCookie_shapes,Cookie Shapes
ShawCookie_shapesDesc,"Shaws favorite"
ShawUpgradeTool,[00ff00]70 Multitool
ShawUpgradeToolDesc,"Upgrade all to cookies and make shaw proud"
QuestEssenceKey1,Strange Note
QuestEssenceKey1Desc,"A note signed by Cardriver70."
CookieName,Cookies
CookieBricksName,Cookie Bricks
QuestCookieHouse,Cookie Map
CookieHouseDesc,"This map contains the location of a cookie outpost."
CookieHouse_name,Cookie Outpost
CookieHouse_subtitle,Cookie Outpost
CookieHouse_offer,"Make your way to my old home there may still be some of my original tools left behind.\nMake sure to bring an essence key.\n\n-Cardriver70"
CookieHouse_description,"Make your way to my old home there may still be some of my original tools left behind.\nMake sure to bring an essence key.\n\n-Cardriver70"
QuestCookieFactory,Shaw's Cookie Works Access Card
QuestCookieFactoryDesc,"An access card to Shaws Cookie Works containing a note on the back.\nGo down to the abandoned Cookie Works and restart production\n-Cardriver70"
CookieFactory_name,Restart Shaw's Cookie Works
CookieFactory_subtitle,Restart Shaw's Cookie Works
CookieFactory_offer,"Restart Shaw's Cookie Works to produce important items"
QuestCookieFactoryHarambeWorkstation,Shaw's Cookie Works Access Card Harambe Shrine
QuestCookieFactoryHarambeWorkstationDesc,"An access card to Shaws Cookie Works that is configured to assemble the Harambe Shrine"
QuestCookieFactoryRuinsWorkstation,Shaw's Cookie Works Access Card Ruins Shrine
QuestCookieFactoryRuinsWorkstationDesc,"An access card to Shaws Cookie Works that is configured to assemble the Ruins Shrine"
QuestCookieFactorySakuraGardenWorkstation,Shaw's Cookie Works Access Card Nature Shrine
QuestCookieFactorySakuraGardenWorkstationDesc,"An access card to Shaws Cookie Works that is configured to assemble the Nature Shrine"
QuestCookieFactoryOilWorkstation,Shaw's Cookie Works Access Card Industry Shrine
